name,positions,FG%,FT%,made_three_point_field_goals,points,Rebounds,assists,steals,blocks,turnovers
Steven Adams,C,0.61,0.53,0.00,10.79,9.11,2.84,0.53,1.11,1.42
Bam Adebayo,C,0.58,0.66,0.04,14.61,10.52,4.09,1.39,1.22,2.96
LaMarcus Aldridge,C,0.51,0.84,0.57,18.86,7.00,2.43,0.62,1.76,1.62
Nickeil Alexander-Walker,SG,0.32,0.69,1.21,6.53,2.37,2.05,0.37,0.11,1.21
Grayson Allen,SG,0.38,0.88,1.00,7.58,3.00,1.58,0.42,0.00,1.08
Jarrett Allen,C,0.66,0.60,0.00,12.35,10.57,1.17,0.78,1.30,1.22
Kadeem Allen,SG,0.50,0.00,3.00,9.00,0.00,2.00,1.00,0.00,1.00
Al-Farouq Aminu,PF,0.29,0.66,0.50,4.33,4.83,1.17,1.00,0.44,0.94
Kyle Anderson,PF,0.51,0.57,0.24,6.71,4.41,2.59,0.71,0.71,0.88
Ryan Anderson,PF,0.29,0.00,0.50,2.50,3.50,1.00,0.50,0.00,0.50
Giannis Antetokounmpo,PF,0.56,0.59,1.57,30.83,13.13,5.43,1.30,1.30,3.87
Kostas Antetokounmpo,PF,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00
Thanasis Antetokounmpo,SF,0.60,0.50,0.00,3.50,0.75,1.00,0.00,0.00,0.50
Carmelo Anthony,PF,0.41,0.86,1.40,15.90,5.80,1.50,1.10,0.20,2.10
OG Anunoby,SF,0.53,0.54,1.62,11.24,5.62,1.81,1.33,0.86,1.10
Ryan Arcidiacono,PG,0.38,0.75,0.92,4.21,1.67,1.71,0.50,0.08,0.71
Trevor Ariza,SF,0.36,0.75,1.27,5.20,3.73,0.80,0.93,0.13,0.80
D.J. Augustin,PG,0.38,0.88,1.05,9.59,2.50,4.73,0.73,0.00,1.45
Deandre Ayton,C,0.64,0.00,0.00,18.00,11.00,0.00,1.00,4.00,0.00
Dwayne Bacon,SG,0.32,0.69,0.53,6.74,2.63,1.26,0.79,0.11,1.00
Marvin Bagley,PF,0.38,0.50,0.00,14.00,10.00,0.00,1.00,1.00,1.00
Lonzo Ball,PG,0.38,0.71,2.27,10.93,4.33,5.73,1.13,0.40,2.73
Mo Bamba,C,0.42,0.50,0.75,5.40,5.35,0.45,0.30,1.40,1.30
J.J. Barea,PG,0.44,1.00,1.67,8.67,1.67,2.83,0.33,0.17,0.83
Harrison Barnes,PF,0.48,0.80,1.32,16.32,5.18,2.32,0.91,0.18,1.55
RJ Barrett,SG,0.40,0.53,1.00,14.32,5.32,3.27,1.36,0.50,2.45
Will Barton,SF,0.45,0.72,1.89,14.16,6.53,3.26,1.00,0.37,1.26
Keita Bates-Diop,SF,0.54,0.60,1.55,8.27,2.64,0.64,0.36,0.55,0.45
Nicolas Batum,SF,0.36,1.00,0.69,3.54,4.38,3.23,0.85,0.54,1.46
Aron Baynes,C,0.56,0.71,1.92,14.69,5.69,2.92,0.31,0.69,1.08
Kent Bazemore,SF,0.34,0.79,1.29,7.88,4.29,1.67,0.88,0.75,1.42
Darius Bazley,PF,0.40,0.56,0.68,4.09,3.64,0.55,0.36,0.41,0.73
Bradley Beal,SG,0.45,0.84,2.64,27.95,4.55,6.95,0.95,0.23,3.50
Malik Beasley,SG,0.38,0.86,1.24,6.41,1.47,1.06,0.47,0.12,0.94
Marco Belinelli,SG,0.31,0.71,1.00,5.43,1.67,1.52,0.24,0.00,0.43
Jordan Bell,C,0.55,0.58,0.00,3.75,3.67,0.67,0.00,0.42,1.17
DeAndre' Bembry,SG,0.49,0.49,0.39,7.35,4.57,2.74,1.43,0.48,1.52
Dragan Bender,SF,0.75,1.00,0.67,5.00,0.67,1.00,0.00,0.67,0.33
Dāvis Bertāns,PF,0.46,0.87,3.82,14.91,4.50,1.59,0.64,0.59,0.64
Patrick Beverley,PG,0.38,0.61,1.36,7.45,6.14,3.18,1.41,0.55,1.41
Khem Birch,C,0.50,0.50,0.00,4.38,5.77,1.08,0.54,0.69,0.69
Goga Bitadze,C,0.46,0.74,0.24,4.12,3.06,0.82,0.06,1.12,0.59
Bismack Biyombo,C,0.57,0.57,0.00,7.52,4.30,0.83,0.26,0.74,0.65
Nemanja Bjelica,PF,0.48,0.93,1.82,11.45,6.86,2.64,0.95,0.59,1.68
Eric Bledsoe,PG,0.47,0.79,1.17,14.96,4.91,5.61,0.83,0.43,2.22
Bogdan Bogdanović,SG,0.40,0.73,2.60,14.25,2.80,4.40,1.30,0.10,1.85
Bojan Bogdanović,SF,0.47,0.89,3.14,20.91,4.41,2.09,0.73,0.18,2.77
Jonah Bolden,PF,1.00,0.00,0.00,1.00,0.00,0.00,0.50,0.00,0.50
