Date,Start (ET),Visitor/Neutral,Home/Neutral
Fri Nov 1 2019,7:00p,Houston Rockets,Brooklyn Nets
Fri Nov 1 2019,7:00p,Cleveland Cavaliers,Indiana Pacers
Fri Nov 1 2019,7:00p,Milwaukee Bucks,Orlando Magic
Fri Nov 1 2019,7:30p,New York Knicks,Boston Celtics
Fri Nov 1 2019,8:00p,Detroit Pistons,Chicago Bulls
Fri Nov 1 2019,9:30p,Los Angeles Lakers,Dallas Mavericks
Fri Nov 1 2019,10:00p,Utah Jazz,Sacramento Kings
Fri Nov 1 2019,10:30p,San Antonio Spurs,Golden State Warriors
Sat Nov 2 2019,5:00p,New Orleans Pelicans,Oklahoma City Thunder
Sat Nov 2 2019,7:00p,Brooklyn Nets,Detroit Pistons
Sat Nov 2 2019,7:00p,Denver Nuggets,Orlando Magic
Sat Nov 2 2019,8:00p,Phoenix Suns,Memphis Grizzlies
Sat Nov 2 2019,8:00p,Toronto Raptors,Milwaukee Bucks
Sat Nov 2 2019,8:00p,Minnesota Timberwolves,Washington Wizards
Sat Nov 2 2019,8:30p,Charlotte Hornets,Golden State Warriors
Sat Nov 2 2019,10:00p,Philadelphia 76ers,Portland Trail Blazers
Sun Nov 3 2019,5:00p,Chicago Bulls,Indiana Pacers
Sun Nov 3 2019,6:00p,Houston Rockets,Miami Heat
Sun Nov 3 2019,6:00p,Sacramento Kings,New York Knicks
Sun Nov 3 2019,7:00p,Los Angeles Lakers,San Antonio Spurs
Sun Nov 3 2019,7:30p,Dallas Mavericks,Cleveland Cavaliers
Sun Nov 3 2019,9:00p,Utah Jazz,Los Angeles Clippers
Mon Nov 4 2019,7:00p,Detroit Pistons,Washington Wizards
Mon Nov 4 2019,7:30p,New Orleans Pelicans,Brooklyn Nets
Mon Nov 4 2019,8:00p,Houston Rockets,Memphis Grizzlies
Mon Nov 4 2019,8:00p,Milwaukee Bucks,Minnesota Timberwolves
Mon Nov 4 2019,9:00p,Philadelphia 76ers,Phoenix Suns
Mon Nov 4 2019,10:30p,Portland Trail Blazers,Golden State Warriors
Tue Nov 5 2019,7:00p,Indiana Pacers,Charlotte Hornets
Tue Nov 5 2019,7:00p,Boston Celtics,Cleveland Cavaliers
Tue Nov 5 2019,7:30p,San Antonio Spurs,Atlanta Hawks
Tue Nov 5 2019,8:00p,Los Angeles Lakers,Chicago Bulls
Tue Nov 5 2019,8:00p,Orlando Magic,Oklahoma City Thunder
Tue Nov 5 2019,9:00p,Miami Heat,Denver Nuggets
Wed Nov 6 2019,7:00p,New York Knicks,Detroit Pistons
Wed Nov 6 2019,7:00p,Washington Wizards,Indiana Pacers
Wed Nov 6 2019,7:30p,Chicago Bulls,Atlanta Hawks
Wed Nov 6 2019,7:30p,Golden State Warriors,Houston Rockets
Wed Nov 6 2019,7:30p,Sacramento Kings,Toronto Raptors
Wed Nov 6 2019,8:00p,Minnesota Timberwolves,Memphis Grizzlies
Wed Nov 6 2019,8:30p,Orlando Magic,Dallas Mavericks
Wed Nov 6 2019,9:00p,Philadelphia 76ers,Utah Jazz
Wed Nov 6 2019,10:00p,Milwaukee Bucks,Los Angeles Clippers
Thu Nov 7 2019,8:00p,Boston Celtics,Charlotte Hornets
Thu Nov 7 2019,8:30p,Oklahoma City Thunder,San Antonio Spurs
Thu Nov 7 2019,9:00p,Miami Heat,Phoenix Suns
Thu Nov 7 2019,10:30p,Portland Trail Blazers,Los Angeles Clippers
Fri Nov 8 2019,7:00p,Detroit Pistons,Indiana Pacers
Fri Nov 8 2019,7:00p,Memphis Grizzlies,Orlando Magic
Fri Nov 8 2019,7:00p,Cleveland Cavaliers,Washington Wizards
Fri Nov 8 2019,7:30p,Sacramento Kings,Atlanta Hawks
Fri Nov 8 2019,8:00p,Golden State Warriors,Minnesota Timberwolves
Fri Nov 8 2019,8:00p,Toronto Raptors,New Orleans Pelicans
Fri Nov 8 2019,8:30p,New York Knicks,Dallas Mavericks
Fri Nov 8 2019,9:00p,Philadelphia 76ers,Denver Nuggets
Fri Nov 8 2019,9:00p,Milwaukee Bucks,Utah Jazz
Fri Nov 8 2019,10:00p,Brooklyn Nets,Portland Trail Blazers
Fri Nov 8 2019,10:30p,Miami Heat,Los Angeles Lakers
Sat Nov 9 2019,5:00p,Boston Celtics,San Antonio Spurs
Sat Nov 9 2019,7:00p,New Orleans Pelicans,Charlotte Hornets
Sat Nov 9 2019,8:00p,Houston Rockets,Chicago Bulls
Sat Nov 9 2019,8:00p,Dallas Mavericks,Memphis Grizzlies
Sat Nov 9 2019,8:00p,Golden State Warriors,Oklahoma City Thunder
Sun Nov 10 2019,3:30p,Denver Nuggets,Minnesota Timberwolves
Sun Nov 10 2019,6:00p,Indiana Pacers,Orlando Magic
Sun Nov 10 2019,6:00p,Charlotte Hornets,Philadelphia 76ers
Sun Nov 10 2019,7:00p,Milwaukee Bucks,Oklahoma City Thunder
Sun Nov 10 2019,7:30p,Cleveland Cavaliers,New York Knicks
Sun Nov 10 2019,8:00p,Brooklyn Nets,Phoenix Suns
Sun Nov 10 2019,9:00p,Atlanta Hawks,Portland Trail Blazers
Sun Nov 10 2019,9:30p,Toronto Raptors,Los Angeles Lakers
Mon Nov 11 2019,7:00p,Minnesota Timberwolves,Detroit Pistons
Mon Nov 11 2019,7:30p,Dallas Mavericks,Boston Celtics
Mon Nov 11 2019,7:30p,Memphis Grizzlies,San Antonio Spurs
Mon Nov 11 2019,8:00p,Houston Rockets,New Orleans Pelicans
Mon Nov 11 2019,10:30p,Utah Jazz,Golden State Warriors
Mon Nov 11 2019,10:30p,Toronto Raptors,Los Angeles Clippers
Tue Nov 12 2019,7:00p,Oklahoma City Thunder,Indiana Pacers
Tue Nov 12 2019,7:00p,Cleveland Cavaliers,Philadelphia 76ers
Tue Nov 12 2019,7:30p,Detroit Pistons,Miami Heat
Tue Nov 12 2019,8:00p,New York Knicks,Chicago Bulls
Tue Nov 12 2019,9:00p,Atlanta Hawks,Denver Nuggets
Tue Nov 12 2019,9:00p,Los Angeles Lakers,Phoenix Suns
Tue Nov 12 2019,9:00p,Brooklyn Nets,Utah Jazz
Tue Nov 12 2019,10:00p,Portland Trail Blazers,Sacramento Kings
Wed Nov 13 2019,7:00p,Memphis Grizzlies,Charlotte Hornets
Wed Nov 13 2019,7:00p,Philadelphia 76ers,Orlando Magic
Wed Nov 13 2019,7:30p,Washington Wizards,Boston Celtics
Wed Nov 13 2019,7:30p,Los Angeles Clippers,Houston Rockets
Wed Nov 13 2019,8:00p,San Antonio Spurs,Minnesota Timberwolves
Wed Nov 13 2019,10:00p,Golden State Warriors,Los Angeles Lakers
Wed Nov 13 2019,10:00p,Toronto Raptors,Portland Trail Blazers
Thu Nov 14 2019,6:00p,Miami Heat,Cleveland Cavaliers
Thu Nov 14 2019,8:00p,Chicago Bulls,Milwaukee Bucks
Thu Nov 14 2019,8:00p,Los Angeles Clippers,New Orleans Pelicans
Thu Nov 14 2019,8:00p,Dallas Mavericks,New York Knicks
Thu Nov 14 2019,9:00p,Atlanta Hawks,Phoenix Suns
Thu Nov 14 2019,10:30p,Brooklyn Nets,Denver Nuggets
Fri Nov 15 2019,7:00p,Detroit Pistons,Charlotte Hornets
Fri Nov 15 2019,7:00p,San Antonio Spurs,Orlando Magic
Fri Nov 15 2019,8:00p,Indiana Pacers,Houston Rockets
Fri Nov 15 2019,8:00p,Utah Jazz,Memphis Grizzlies
Fri Nov 15 2019,8:00p,Washington Wizards,Minnesota Timberwolves
Fri Nov 15 2019,8:00p,Philadelphia 76ers,Oklahoma City Thunder
Fri Nov 15 2019,10:30p,Boston Celtics,Golden State Warriors
Fri Nov 15 2019,10:30p,Sacramento Kings,Los Angeles Lakers
Sat Nov 16 2019,6:00p,Brooklyn Nets,Chicago Bulls
Sat Nov 16 2019,7:00p,Milwaukee Bucks,Indiana Pacers
Sat Nov 16 2019,7:30p,Charlotte Hornets,New York Knicks
Sat Nov 16 2019,8:00p,New Orleans Pelicans,Miami Heat
Sat Nov 16 2019,8:00p,Houston Rockets,Minnesota Timberwolves
Sat Nov 16 2019,8:30p,Toronto Raptors,Dallas Mavericks
Sat Nov 16 2019,8:30p,Portland Trail Blazers,San Antonio Spurs
Sat Nov 16 2019,10:30p,Atlanta Hawks,Los Angeles Clippers
Sun Nov 17 2019,3:00p,Philadelphia 76ers,Cleveland Cavaliers
Sun Nov 17 2019,3:30p,Boston Celtics,Sacramento Kings
Sun Nov 17 2019,6:00p,Denver Nuggets,Memphis Grizzlies
Sun Nov 17 2019,6:00p,Washington Wizards,Orlando Magic
Sun Nov 17 2019,7:00p,Golden State Warriors,New Orleans Pelicans
Sun Nov 17 2019,9:30p,Atlanta Hawks,Los Angeles Lakers
Mon Nov 18 2019,7:00p,Cleveland Cavaliers,New York Knicks
Mon Nov 18 2019,7:30p,Indiana Pacers,Brooklyn Nets
Mon Nov 18 2019,7:30p,Charlotte Hornets,Toronto Raptors
Mon Nov 18 2019,8:00p,Milwaukee Bucks,Chicago Bulls
Mon Nov 18 2019,8:00p,Portland Trail Blazers,Houston Rockets
Mon Nov 18 2019,8:30p,San Antonio Spurs,Dallas Mavericks
Mon Nov 18 2019,9:00p,Boston Celtics,Phoenix Suns
