Date,Start (ET),Visitor/Neutral,Home/Neutral
Tue Oct 22 2019,8:00p,New Orleans Pelicans,Toronto Raptors
Tue Oct 22 2019,10:30p,Los Angeles Lakers,Los Angeles Clippers
Wed Oct 23 2019,7:00p,Cleveland Cavaliers,Orlando Magic
Wed Oct 23 2019,7:00p,Detroit Pistons,Indiana Pacers
Wed Oct 23 2019,7:00p,Chicago Bulls,Charlotte Hornets
Wed Oct 23 2019,7:30p,Memphis Grizzlies,Miami Heat
Wed Oct 23 2019,7:30p,Minnesota Timberwolves,Brooklyn Nets
Wed Oct 23 2019,7:30p,Boston Celtics,Philadelphia 76ers
Wed Oct 23 2019,8:30p,Washington Wizards,Dallas Mavericks
Wed Oct 23 2019,8:30p,New York Knicks,San Antonio Spurs
Wed Oct 23 2019,9:00p,Oklahoma City Thunder,Utah Jazz
Wed Oct 23 2019,10:00p,Denver Nuggets,Portland Trail Blazers
Wed Oct 23 2019,10:00p,Sacramento Kings,Phoenix Suns
Thu Oct 24 2019,7:00p,Atlanta Hawks,Detroit Pistons
Thu Oct 24 2019,8:00p,Milwaukee Bucks,Houston Rockets
Thu Oct 24 2019,10:30p,Los Angeles Clippers,Golden State Warriors
Fri Oct 25 2019,7:00p,Toronto Raptors,Boston Celtics
Fri Oct 25 2019,7:00p,Minnesota Timberwolves,Charlotte Hornets
Fri Oct 25 2019,7:30p,New York Knicks,Brooklyn Nets
Fri Oct 25 2019,8:00p,Washington Wizards,Oklahoma City Thunder
Fri Oct 25 2019,8:00p,Dallas Mavericks,New Orleans Pelicans
Fri Oct 25 2019,8:00p,Chicago Bulls,Memphis Grizzlies
Fri Oct 25 2019,9:00p,Phoenix Suns,Denver Nuggets
Fri Oct 25 2019,10:00p,Portland Trail Blazers,Sacramento Kings
Fri Oct 25 2019,10:30p,Utah Jazz,Los Angeles Lakers
Sat Oct 26 2019,5:00p,Miami Heat,Milwaukee Bucks
Sat Oct 26 2019,7:00p,Philadelphia 76ers,Detroit Pistons
Sat Oct 26 2019,7:30p,Orlando Magic,Atlanta Hawks
Sat Oct 26 2019,7:30p,Boston Celtics,New York Knicks
Sat Oct 26 2019,8:00p,New Orleans Pelicans,Houston Rockets
Sat Oct 26 2019,8:00p,Indiana Pacers,Cleveland Cavaliers
Sat Oct 26 2019,8:00p,Toronto Raptors,Chicago Bulls
Sat Oct 26 2019,8:30p,Washington Wizards,San Antonio Spurs
Sat Oct 26 2019,9:00p,Sacramento Kings,Utah Jazz
Sat Oct 26 2019,10:00p,Los Angeles Clippers,Phoenix Suns
Sun Oct 27 2019,3:30p,Golden State Warriors,Oklahoma City Thunder
Sun Oct 27 2019,6:00p,Brooklyn Nets,Memphis Grizzlies
Sun Oct 27 2019,7:00p,Miami Heat,Minnesota Timberwolves
Sun Oct 27 2019,7:00p,Portland Trail Blazers,Dallas Mavericks
Sun Oct 27 2019,9:30p,Charlotte Hornets,Los Angeles Lakers
Mon Oct 28 2019,7:00p,Indiana Pacers,Detroit Pistons
Mon Oct 28 2019,7:00p,Chicago Bulls,New York Knicks
Mon Oct 28 2019,7:30p,Philadelphia 76ers,Atlanta Hawks
Mon Oct 28 2019,7:30p,Orlando Magic,Toronto Raptors
Mon Oct 28 2019,8:00p,Golden State Warriors,New Orleans Pelicans
Mon Oct 28 2019,8:00p,Cleveland Cavaliers,Milwaukee Bucks
Mon Oct 28 2019,8:00p,Oklahoma City Thunder,Houston Rockets
Mon Oct 28 2019,8:30p,Portland Trail Blazers,San Antonio Spurs
Mon Oct 28 2019,10:00p,Utah Jazz,Phoenix Suns
Mon Oct 28 2019,10:00p,Denver Nuggets,Sacramento Kings
Mon Oct 28 2019,10:30p,Charlotte Hornets,Los Angeles Clippers
Tue Oct 29 2019,7:30p,Atlanta Hawks,Miami Heat
Tue Oct 29 2019,9:00p,Dallas Mavericks,Denver Nuggets
Tue Oct 29 2019,10:30p,Memphis Grizzlies,Los Angeles Lakers
Wed Oct 30 2019,7:00p,Minnesota Timberwolves,Philadelphia 76ers
Wed Oct 30 2019,7:00p,New York Knicks,Orlando Magic
Wed Oct 30 2019,7:00p,Chicago Bulls,Cleveland Cavaliers
Wed Oct 30 2019,7:30p,Detroit Pistons,Toronto Raptors
Wed Oct 30 2019,7:30p,Indiana Pacers,Brooklyn Nets
Wed Oct 30 2019,7:30p,Milwaukee Bucks,Boston Celtics
Wed Oct 30 2019,8:00p,Portland Trail Blazers,Oklahoma City Thunder
Wed Oct 30 2019,8:00p,Houston Rockets,Washington Wizards
Wed Oct 30 2019,10:00p,Charlotte Hornets,Sacramento Kings
Wed Oct 30 2019,10:00p,Los Angeles Clippers,Utah Jazz
Wed Oct 30 2019,10:30p,Phoenix Suns,Golden State Warriors
Thu Oct 31 2019,7:00p,Miami Heat,Atlanta Hawks
Thu Oct 31 2019,9:30p,Denver Nuggets,New Orleans Pelicans
Thu Oct 31 2019,10:30p,San Antonio Spurs,Los Angeles Clippers
