Player,Pos,FG%,FT%,3P,PS/G▼,TRB,AST,STL,BLK,TOV
Stephen Curry,PG,0.504,0.908,5.1,30.1,5.4,6.7,2.1,0.2,3.3
James Harden,SG,0.439,0.86,2.9,29,6.1,7.5,1.7,0.6,4.6
Kevin Durant,SF,0.505,0.898,2.6,28.2,8.2,5,1,1.2,3.5
DeMarcus Cousins,C,0.451,0.718,1.1,26.9,11.5,3.3,1.6,1.4,3.8
LeBron James,SF,0.52,0.731,1.1,25.3,7.4,6.8,1.4,0.6,3.3
Damian Lillard,PG,0.419,0.892,3.1,25.1,4,6.8,0.9,0.4,3.2
Anthony Davis,PF,0.493,0.758,0.6,24.3,10.3,1.9,1.3,2,2
DeMar DeRozan,SG,0.446,0.85,0.6,23.5,4.5,4,1,0.3,2.2
Russell Westbrook,PG,0.454,0.812,1.3,23.5,7.8,10.4,2,0.3,4.3
Paul George,SF,0.418,0.86,2.6,23.1,7,4.1,1.9,0.4,3.3
Isaiah Thomas,PG,0.428,0.871,2,22.2,3,6.2,1.1,0.1,2.7
Klay Thompson,SG,0.47,0.873,3.5,22.1,3.8,2.1,0.8,0.6,1.7
Carmelo Anthony,SF,0.434,0.829,1.5,21.8,7.7,4.2,0.9,0.5,2.4
Blake Griffin,PF,0.499,0.727,0.2,21.4,8.4,4.9,0.8,0.5,2.4
Kawhi Leonard,SF,0.506,0.874,1.8,21.2,6.8,2.6,1.8,1,1.5
Kyle Lowry,PG,0.427,0.811,2.8,21.2,4.7,6.4,2.1,0.4,2.9
Jimmy Butler,SG,0.454,0.832,1,20.9,5.3,4.8,1.6,0.6,2
Kemba Walker,PG,0.427,0.847,2.2,20.9,4.4,5.2,1.6,0.5,2.1
C.J. McCollum,SG,0.448,0.827,2.5,20.8,3.2,4.3,1.2,0.3,2.5
Andrew Wiggins,SF,0.459,0.761,0.7,20.7,3.6,2,1,0.6,2.2
Brook Lopez,C,0.511,0.787,0,20.6,7.8,2,0.8,1.7,2.4
Eric Bledsoe,PG,0.453,0.802,1.5,20.4,4,6.1,2,0.6,3.5
John Wall,PG,0.424,0.791,1.5,19.9,4.9,10.2,1.9,0.8,4.1
Gordon Hayward,SF,0.433,0.824,1.8,19.7,5,3.7,1.2,0.3,2.5
Kyrie Irving,PG,0.448,0.885,1.6,19.6,3,4.7,1.1,0.3,2.3
Brandon Knight,SG,0.415,0.852,2.3,19.6,3.9,5.1,1.2,0.4,3.4
Danilo Gallinari,SF,0.41,0.868,1.6,19.5,5.3,2.5,0.8,0.4,1.5
Chris Paul,PG,0.462,0.896,1.6,19.5,4.2,10,2.1,0.2,2.6
Chris Bosh,PF,0.467,0.795,1.5,19.1,7.4,2.4,0.7,0.6,1.5
Dwyane Wade,SG,0.456,0.793,0.1,19,4.1,4.6,1.1,0.6,2.7
Reggie Jackson,PG,0.434,0.864,1.5,18.8,3.2,6.2,0.7,0.1,2.8
Dirk Nowitzki,PF,0.448,0.893,1.7,18.3,6.5,1.8,0.7,0.7,1.1
Karl-Anthony Towns,C,0.542,0.811,0.4,18.3,10.5,2,0.7,1.7,2.2
Khris Middleton,SG,0.444,0.888,1.8,18.2,3.8,4.2,1.7,0.2,2.3
Nikola Vucevic,C,0.51,0.753,0,18.2,8.9,2.8,0.8,1.1,1.9
LaMarcus Aldridge,PF,0.513,0.858,0,18,8.5,1.5,0.5,1.1,1.3
Kobe Bryant,SF,0.358,0.826,2,17.6,3.7,2.8,0.9,0.2,2
Jahlil Okafor,C,0.508,0.686,0,17.5,7,1.2,0.4,1.2,2.3
Bradley Beal,SG,0.449,0.767,1.9,17.4,3.4,2.9,1,0.2,2
Rudy Gay,SF,0.463,0.78,1.1,17.2,6.5,1.7,1.4,0.7,2
Paul Millsap,PF,0.47,0.757,0.9,17.1,9,3.3,1.8,1.7,2.4
Ryan Anderson,PF,0.427,0.873,2,17,6,1.1,0.6,0.4,1.4
Giannis Antetokounmpo,PG,0.506,0.724,0.4,16.9,7.7,4.3,1.2,1.4,2.6
Jrue Holiday,PG,0.439,0.843,1.3,16.8,3,6,1.4,0.3,2.6
Marc Gasol,C,0.464,0.829,0,16.6,7,3.8,1,1.3,2.3
Pau Gasol,C,0.469,0.792,0.3,16.5,11,4.1,0.6,2,2.3
Derrick Favors,PF,0.515,0.709,0,16.4,8.1,1.5,1.2,1.5,1.7
Derrick Rose,PG,0.427,0.793,0.7,16.4,3.4,4.7,0.7,0.2,2.7
J.J. Redick,SG,0.48,0.888,2.7,16.3,1.9,1.4,0.6,0.1,1
Andre Drummond,C,0.521,0.355,0,16.2,14.8,0.8,1.5,1.4,1.9
Kevin Love,PF,0.419,0.822,2.1,16,9.9,2.4,0.8,0.5,1.8
Victor Oladipo,SG,0.438,0.83,1.4,16,4.8,3.9,1.6,0.8,2.1
Jeff Teague,PG,0.439,0.837,1.4,15.7,2.7,5.9,1.2,0.3,2.8
Jordan Clarkson,SG,0.433,0.804,1.4,15.5,4,2.4,1.1,0.1,1.7
Evan Fournier,SF,0.462,0.836,2,15.4,2.8,2.7,1.2,0,1.7
Mike Conley,PG,0.422,0.834,1.4,15.3,2.9,6.1,1.2,0.3,1.5
Greg Monroe,C,0.522,0.74,0,15.3,8.8,2.3,0.9,0.8,1.6
Zach Randolph,PF,0.475,0.796,0.1,15.3,7.8,2.1,0.6,0.2,1.5
Lou Williams,SG,0.408,0.83,1.6,15.3,2.5,2.5,0.9,0.3,1.6
Avery Bradley,SG,0.447,0.78,1.9,15.2,2.9,2.1,1.5,0.3,1.4
Tyreke Evans,SG,0.433,0.796,1.3,15.2,5.2,6.6,1.3,0.3,2.9
