name,Pos,FG%,FT%,3P,PTS,DRB,AST,STL,BLK,TOV
Steven Adams,C,0.591,0.59,1,633,347,141,50,65,86
Bam Adebayo,PF,0.567,0.69,1,1053,518,333,78,85,185
LaMarcus Aldridge,C,0.493,0.827,61,1001,289,129,36,87,74
Nickeil Alexander-Walker,SG,0.339,0.607,40,211,72,74,11,7,40
Grayson Allen,SG,0.449,0.857,33,221,61,43,6,1,23
Jarrett Allen,C,0.646,0.62,0,681,410,85,37,85,72
Kadeem Allen,SG,0.432,0.636,5,50,7,21,5,2,8
Al-Farouq Aminu,PF,0.291,0.655,9,78,63,21,18,8,17
Justin Anderson,SF,0.167,0.5,0,3,2,0,0,1,0
Kyle Anderson,PF,0.493,0.652,16,335,203,132,46,31,55
Ryan Anderson,PF,0.286,,1,5,7,2,1,0,1
Giannis Antetokounmpo,PF,0.547,0.633,83,1690,653,329,59,58,209
Kostas Antetokounmpo,PF,,,0,0,1,1,0,0,0
Thanasis Antetokounmpo,SF,0.528,0.467,0,45,8,9,6,2,11
Carmelo Anthony,PF,0.426,0.843,72,763,252,79,40,23,87
OG Anunoby,SF,0.507,0.686,82,675,267,99,88,42,75
Ryan Arcidiacono,PG,0.409,0.711,54,261,90,96,27,3,37
Trevor Ariza,SF,0.438,0.838,77,423,212,91,69,15,56
D.J. Augustin,PG,0.393,0.885,60,511,91,223,30,1,69
Deandre Ayton,C,0.548,0.769,0,570,237,57,22,51,71
Dwayne Bacon,SG,0.348,0.66,19,224,85,52,23,2,37
Marvin Bagley III,PF,0.467,0.806,4,185,68,10,6,12,18
Lonzo Ball,PG,0.412,0.567,139,695,285,392,80,30,172
Mo Bamba,C,0.468,0.674,37,332,201,42,22,85,42
J.J. Barea,PG,0.413,0.944,29,194,38,99,4,2,35
Harrison Barnes,PF,0.459,0.803,93,941,245,152,38,10,80
RJ Barrett,SG,0.402,0.614,63,803,229,143,55,17,124
Will Barton,SF,0.45,0.767,108,874,289,212,61,29,88
Keita Bates-Diop,SF,0.428,0.71,31,258,91,30,17,21,14
Nicolas Batum,SF,0.346,0.9,14,79,75,66,17,8,22
Aron Baynes,C,0.48,0.747,59,481,166,67,10,23,50
Kent Bazemore,SF-SG,0.374,0.768,78,557,253,85,70,39,85
Darius Bazley,PF,0.383,0.681,30,238,175,29,20,35,40
Bradley Beal,SG,0.455,0.842,170,1741,190,347,71,23,194
Malik Beasley,SG,0.425,0.818,107,615,130,75,40,8,57
Marco Belinelli,SG,0.391,0.78,57,301,86,64,10,1,16
Jordan Bell,C-PF,0.522,0.613,4,93,51,16,3,10,21
DeAndre\' Bembry,SG,0.456,0.542,15,249,118,81,55,19,60
Dragan Bender,SF,0.446,0.714,15,107,57,28,4,9,21
Davis Bertans,PF,0.434,0.852,200,834,210,92,37,33,59
Patrick Beverley,PG,0.428,0.659,75,380,203,179,53,25,64
Khem Birch,C,0.487,0.612,0,153,110,35,16,21,23
Goga Bitadze,C,0.473,0.727,6,152,74,21,6,32,25
Bismack Biyombo,C,0.543,0.603,0,393,188,50,10,49,48
Nemanja Bjelica,PF,0.475,0.822,125,759,305,179,54,33,92
Eric Bledsoe,PG,0.482,0.813,70,865,218,302,53,25,140
Bogdan Bogdan Bogdanovic,SG,0.433,0.724,137,767,154,169,54,14,89
Bojan Bogdan Bogdanovic,SF,0.447,0.903,189,1275,220,131,34,7,159
Jonah Bolden,PF,0.364,0.5,0,10,6,0,3,2,2
Marques Bolden,C,,,0,0,2,0,1,0,0
Jordan Bone,PG,0.25,,2,12,4,8,1,0,2
Isaac Bonga,SF,0.522,0.813,22,266,122,61,37,21,41
Devin Booker,SG,0.487,0.916,126,1619,231,408,45,16,244
Chris Boucher,PF,0.458,0.796,28,348,148,23,20,53,23
Brian Bowen,SG,0.222,,0,4,6,0,0,1,1
Ky Bowman,PG,0.417,0.829,33,335,97,131,44,10,70
Avery Bradley,SG,0.444,0.833,63,423,97,63,43,5,47
Tony Bradley,C,0.665,0.65,1,233,126,17,12,25,23
Jarrell Brantley,PF,,,0,0,5,1,0,2,2
Ignas Brazdeikis,SF,0.273,0.8,1,17,3,4,0,1,2
Mikal Bridges,SF,0.516,0.848,56,565,200,115,93,39,65
Miles Bridges,SF,0.424,0.809,99,843,274,114,40,48,95
Oshae Brissett,SF,0.361,0.8,3,37,17,7,4,1,7
Ryan Broekhoff,SG,0.373,0.875,20,71,38,11,5,4,6
Malcolm Brogdon,PG,0.439,0.895,61,784,186,343,33,8,115
Dillon Brooks,SG,0.402,0.809,132,1020,152,128,57,25,108
Bruce Brown,SG,0.443,0.739,33,517,213,230,63,29,100
Charlie Brown,SG,0.316,1,3,20,2,2,2,2,3
Jaylen Brown,SF,0.49,0.736,107,1022,264,109,56,16,116
Moses Brown,C,0.4,0.375,0,11,11,1,1,1,3
Sterling Brown,SF,0.367,0.771,36,223,137,46,22,7,36
Troy Brown Jr.,SG,0.453,0.754,50,594,261,142,76,6,65
Jalen Brunson,PG,0.466,0.813,43,466,112,188,22,4,66
Thomas Bryant,C,0.599,0.737,22,460,185,71,14,33,48
Reggie Bullock,SG,0.402,0.81,37,234,55,42,25,3,19
Trey Burke,PG,0.465,0.722,16,147,20,53,7,1,12
Alec Burks,SG,0.404,0.896,100,891,219,171,58,17,85
Deonte Burton,SG,0.371,0.5,10,94,42,11,5,10,14
Jimmy Butler,SF,0.454,0.833,29,1093,261,331,92,29,118
Bruno Caboclo,SF,0.416,0.8,4,72,31,12,12,16,9
Kentavious Caldwell-Pope,SG,0.472,0.779,87,601,95,105,53,13,55
Vlatko Cancar,SF,0.4,1,1,17,5,3,1,1,3
Clint Capela,C,0.629,0.529,0,543,369,48,33,72,63
DeMarre Carroll,SF,0.389,0.667,7,73,36,18,4,4,16
Jevon Carter,PG,0.4,0.84,46,231,73,65,38,13,31
Vince Carter,SF,0.352,0.793,61,298,106,48,23,25,33
Wendell Carter Jr.,C,0.534,0.737,6,484,266,51,33,36,72
Michael Carter-Williams,SG,0.434,0.828,20,302,96,102,45,20,48
Alex Caruso,PG,0.423,0.763,38,316,98,102,60,17,46
Willie Cauley-Stein,C,0.579,0.606,0,390,231,70,49,61,40
Tyson Chandler,C,0.778,0.462,0,34,41,6,6,8,8
Wilson Chandler,SF,0.404,0.87,37,205,134,39,16,12,34
Joe Chealey,PG,0,1,0,2,0,1,4,0,2
Zylan Cheatham,SF,0.4,,0,4,5,2,0,1,3
Chris Chiozza,PG,0.405,1,18,84,29,48,15,2,17
Marquese Chriss,PF,0.545,0.769,8,548,251,114,39,62,78
Gary Clark,PF,0.376,0.889,28,112,58,15,5,14,5
Brandon Clarke,PF,0.623,0.785,21,602,214,72,26,42,46
Jordan Clarkson,SG,0.465,0.841,130,952,120,124,43,15,82
Nicolas Claxton,PF,0.563,0.524,1,66,25,16,1,8,9
Chris Clemons,SG,0.405,0.857,33,141,20,22,6,5,17
Antonius Cleveland,SG,0.333,0.5,0,5,3,0,1,1,1
Amir Coffey,SG,0.394,0.333,1,28,10,9,1,1,3
John Collins,PF,0.583,0.8,59,885,300,60,31,66,75
Zach Collins,PF,0.474,1,3,27,8,6,0,2,6
Mike Conley,PG,0.405,0.795,80,567,106,178,31,4,76
Pat Connaughton,SG,0.456,0.75,44,309,203,95,20,30,47
Quinn Cook,PG,0.439,0.667,25,183,33,40,11,1,25
Tyler Cook,PF,0.7,0.833,0,19,6,1,1,0,1
Robert Covington,PF,0.432,0.796,148,794,343,74,95,80,93
Allen Crabbe,SG,0.356,0.714,36,172,66,33,15,4,17
Torrey Craig,SF,0.462,0.645,36,248,108,34,18,32,22
Jae Crowder,SF,0.384,0.785,113,602,305,151,67,21,62
Jarrett Culver,SG,0.404,0.462,66,580,142,110,57,38,81
Seth Curry,SG,0.5,0.841,136,742,113,119,36,8,60
Stephen Curry,PG,0.402,1,12,104,22,33,5,2,16
Troy Daniels,SG,0.39,0.625,40,174,34,14,8,3,9
Anthony Davis,PF,0.511,0.845,65,1467,393,172,82,134,135
Ed Davis,C,0.412,0.455,0,33,66,8,10,9,13
Terence Davis,SG,0.463,0.865,88,495,171,107,32,12,65
Dewayne Dedmon,C,0.4,0.833,22,256,189,22,25,41,57
Matthew Dellavedova,PG,0.354,0.865,21,177,57,180,20,2,59
DeMar DeRozan,SF,0.526,0.843,8,1352,305,340,62,14,147
Cheick Diallo,C,0.65,0.865,1,211,99,22,10,12,30
Hamidou Diallo,SF,0.452,0.622,7,233,93,22,28,8,37
Gorgui Dieng,C,0.461,0.735,51,428,249,71,48,56,55
Spencer Dinwiddie,SG,0.415,0.778,123,1318,189,432,40,21,174
Donte DiVincenzo,SG,0.462,0.769,76,554,230,136,80,18,72
Luka Doncic,PG,0.461,0.752,156,1549,433,470,59,10,227
Luguentz Dort,SG,0.414,0.778,22,180,39,21,23,2,15
Damyean Dotson,SG,0.414,0.667,59,321,81,57,23,4,21
Sekou Doumbouya,SF,0.39,0.674,28,243,98,19,20,8,35
PJ Dozier,PG,0.396,0.636,7,86,25,29,7,5,11
Goran Dragic,PG,0.437,0.769,118,868,140,273,31,8,133
Andre Drummond,C,0.533,0.575,5,1010,614,152,109,93,203
Jared Dudley,SF,0.4,1,16,58,38,19,12,3,6
Kris Dunn,PG,0.444,0.741,29,373,163,173,101,17,68
Carsen Edwards,SG,0.327,0.846,21,106,37,22,10,3,15
Henry Ellenson,PF,0.143,,0,2,4,1,0,0,0
Wayne Ellington,SG,0.351,0.846,50,183,61,44,13,4,18
Joel Embiid,C,0.474,0.814,56,1031,398,137,38,58,135
James Ennis,SF,0.435,0.808,47,366,138,54,29,20,43
Drew Eubanks,PF,0.75,0.727,1,51,27,5,2,6,10
Jacob Evans,SG,0.336,0.862,13,128,32,31,11,12,25
Dante Exum,SG,0.471,0.744,15,159,55,40,13,8,31
Tacko Fall,C,0.75,0.333,0,19,11,0,0,2,3
Derrick Favors,C,0.62,0.581,1,415,298,75,25,44,51
Cristiano Felício,PF,0.63,0.783,0,86,47,16,10,2,18
Terrance Ferguson,SF,0.372,0.789,46,209,50,45,26,16,30
Bruno Fernando,C,0.518,0.569,5,240,131,49,18,17,42
Yogi Ferrell,PG,0.396,0.865,19,185,42,59,14,4,25
Dorian Finney-Smith,PF,0.468,0.722,99,597,227,97,44,37,63
Bryn Forbes,SG,0.417,0.833,148,707,114,108,33,0,57
Evan Fournier,SG,0.47,0.82,165,1149,140,193,70,14,120
De\'Aaron Fox,PG,0.475,0.703,47,920,151,304,64,23,141
Melvin Frazier,SG,0.353,0.5,4,18,3,1,4,2,3
Michael Frazier,SG,0.364,0.667,2,14,2,1,2,0,2
Tim Frazier,PG,0.362,0.792,10,97,24,93,14,4,36
Markelle Fultz,PG,0.473,0.723,30,772,178,334,83,10,131
Wenyen Gabriel,PF,0.435,0.7,6,60,28,8,10,6,16
Daniel Gafford,C,0.701,0.533,0,220,54,21,13,56,29
Danilo Gallinari,PF,0.439,0.886,165,1057,270,113,40,4,70
Langston Galloway,SG,0.435,0.859,132,677,116,101,48,11,40
Darius Garland,PG,0.401,0.875,105,728,84,229,42,4,151
Marc Gasol,C,0.419,0.722,51,275,199,124,28,33,43
Rudy Gay,PF,0.442,0.876,58,601,266,101,26,28,78
Paul George,SF,0.432,0.882,133,880,219,162,56,20,113
Taj Gibson,C,0.584,0.732,4,379,156,52,27,30,47
Harry Giles,PF,0.56,0.767,0,265,126,49,21,14,35
Shai Gilgeous-Alexander,SG,0.473,0.801,78,1216,339,208,70,45,117
Rudy Gobert,C,0.698,0.621,0,934,639,93,47,124,120
