name,Position,field_goal_percentage,free_throw_percentage,made_three_point_field_goals,points_scored,rebounds,assists,steals,blocks,turnovers
Steven Adams,C,1.014890738,1.231050277,0.03365855729,6.102631756,14.40604145,3.65969376,2.206296955,1.530294916,0.7376830125
Bam Adebayo,C,1.047937284,0,0,21.59258861,11.11284962,3.330215595,0,1.226654292,4.996042935
LaMarcus Aldridge,C,0.9108409336,1.093340799,4.382600268,27.73217154,9.432135823,1.458919682,0,2.152837392,4.611032286
Nickeil Alexander-Walker,SG,0.05319255002,0.3488422655,0.3813210606,9.766210975,0,0.1915939455,0,0.5234818499,3.645785429
Grayson Allen,SG,0.1695142691,0.1260728639,0.5290596628,8.4522318,3.211336795,1.546269963,0.337184245,0.2650061791,0.7903141722
Jarrett Allen,C,0.5908785083,0.3205656324,0,13.26168151,10.1973246,1.749787945,0.4834495319,0.5841677631,0.02399136267
Kadeem Allen,PF,1.823741738,0,0,7.248242594,1.074859933,2.497482805,0.4869390051,0.6971424652,0.04512418998
Al-Farouq Aminu,PF,4.863149262,0,0.3101647344,8.058382163,5.199972971,1.991520171,0,0.7779902256,0.4164990058
Justin Anderson,PF,0.2083376244,0.9949479867,0,0,0.2289322397,0,0,0.6969478259,0
Kyle Anderson,PF,0.481560218,0,0.2843848825,8.411456636,8.483378351,0,0,0.2359012513,0
Ryan Anderson,PF,0.2374106504,0,0.8168599038,2.978853835,9.084054361,1.588272139,0.5533754207,0,1.014938183
Giannis Antetokounmpo,PF,0.5518018019,3.903307724,0,27.22235454,14.03033962,0.9063664527,1.391970178,3.168321494,4.68010849
Kostas Antetokounmpo,SF,0,0,0,0,1.076476237,0,0,0,0
Thanasis Antetokounmpo,SF,2.035986552,0.2718290552,0,0,3.416052838,3.122835593,0.2457974454,0,0.9350282926
Carmelo Anthony,PF,0.4300849279,0,0,19.03590681,3.587997761,3.506748944,2.190702494,0,1.970748236
OG Anunoby,PF,0.1954843103,0,1.058819566,3.424763042,7.93763517,3.331078302,0,0.8253761305,0
Ryan Arcidiacono,SF,0,0.7892472161,0.3333196683,0.756182557,0.7948385119,2.304978555,0.6207772933,0,1.640561356
Trevor Ariza,SF,0.4566831137,0.6852472862,0.6833620848,3.922313754,5.389082836,4.460639693,2.718199491,0.4159405233,3.15758197
D.J. Augustin,PG,0.7960868352,35.87783174,0.15006905,5.430640685,1.400347989,3.344268152,0.5435277083,0.1098416417,0.9815214427
