name,Position,field_goal_percentage,free_throw_percentage,made_three_point_field_goals,points_scored,rebounds,assists,steals,blocks,turnovers
Steven Adams,C,1.01,1.23,0.03,6.10,14.41,3.66,2.21,1.53,0.74
Bam Adebayo,C,1.05,0.00,0.00,21.59,11.11,3.33,0.00,1.23,5.00
LaMarcus Aldridge,C,0.91,1.09,4.38,27.73,9.43,1.46,0.00,2.15,4.61
Nickeil Alexander-Walker,SG,0.05,0.35,0.38,9.77,0.00,0.19,0.00,0.52,3.65
Grayson Allen,SG,0.17,0.13,0.53,8.45,3.21,1.55,0.34,0.27,0.79
Jarrett Allen,C,0.59,0.32,0.00,13.26,10.20,1.75,0.48,0.58,0.02
Kadeem Allen,PF,1.82,0.00,0.00,7.25,1.07,2.50,0.49,0.70,0.05
Al-Farouq Aminu,PF,4.86,0.00,0.31,8.06,5.20,1.99,0.00,0.78,0.42
Justin Anderson,PF,0.21,0.99,0.00,0.00,0.23,0.00,0.00,0.70,0.00
Kyle Anderson,PF,0.48,0.00,0.28,8.41,8.48,0.00,0.00,0.24,0.00
Ryan Anderson,PF,0.24,0.00,0.82,2.98,9.08,1.59,0.55,0.00,1.01
Giannis Antetokounmpo,PF,0.55,3.90,0.00,27.22,14.03,0.91,1.39,3.17,4.68
Kostas Antetokounmpo,SF,0.00,0.00,0.00,0.00,1.08,0.00,0.00,0.00,0.00
Thanasis Antetokounmpo,SF,2.04,0.27,0.00,0.00,3.42,3.12,0.25,0.00,0.94
Carmelo Anthony,PF,0.43,0.00,0.00,19.04,3.59,3.51,2.19,0.00,1.97
OG Anunoby,PF,0.20,0.00,1.06,3.42,7.94,3.33,0.00,0.83,0.00
Ryan Arcidiacono,SF,0.00,0.79,0.33,0.76,0.79,2.30,0.62,0.00,1.64
Trevor Ariza,SF,0.46,0.69,0.68,3.92,5.39,4.46,2.72,0.42,3.16
D.J. Augustin,PG,0.80,35.88,0.15,5.43,1.40,3.34,0.54,0.11,0.98
Deandre Ayton,C,0.75,1.54,0.00,21.57,19.07,0.30,1.27,1.44,1.08
Dwayne Bacon,PF,1.12,1.08,0.00,0.00,2.99,0.67,1.30,0.00,0.98
Marvin Bagley III,PF,0.49,0.62,0.00,15.40,9.48,0.09,0.40,1.62,1.36
Lonzo Ball,PG,0.62,0.37,1.44,17.68,5.61,9.04,2.32,0.67,4.37
Mo Bamba,C,0.54,4.14,0.22,1.58,2.14,2.10,0.61,2.58,2.64
J.J. Barea,PG,0.26,0.00,1.16,3.71,2.65,3.68,0.00,0.17,1.25
Harrison Barnes,SF,1.03,0.53,1.49,12.56,6.62,0.00,0.86,0.00,3.13
RJ Barrett,SF,0.02,0.24,0.71,6.89,6.81,0.56,0.47,0.00,1.40
Will Barton,SF,0.00,0.17,3.65,15.41,10.28,5.77,0.79,0.76,1.32
Keita Bates-Diop,PF,0.36,2.50,0.00,8.47,2.02,2.74,0.54,0.69,1.19
Nicolas Batum,SF,0.00,0.00,0.88,3.25,5.51,0.85,1.61,0.66,0.87
Aron Baynes,C,0.02,1.28,1.88,19.00,2.69,2.71,0.00,0.55,0.54
Kent Bazemore,SF,0.68,0.49,0.22,9.37,1.49,2.44,1.25,2.67,3.30
Darius Bazley,SG,0.00,0.00,0.91,2.37,2.06,0.49,0.43,0.41,0.29
Bradley Beal,SG,0.57,0.11,5.63,54.82,4.20,5.57,1.23,0.83,5.56
Malik Beasley,SG,0.35,0.00,1.13,13.37,7.46,0.00,0.25,0.60,0.36
Marco Belinelli,SG,0.62,0.12,1.53,3.23,0.00,0.00,0.17,0.00,0.51
Jordan Bell,C,0.22,0.00,0.12,0.00,1.57,0.00,0.00,0.04,0.00
DeAndre' Bembry,PF,0.00,0.00,1.86,0.00,0.58,3.76,0.29,0.36,2.28
Dragan Bender,C,0.56,1.43,0.05,6.01,1.01,0.90,0.00,0.20,1.26
Dāvis Bertāns,PF,0.41,0.11,6.42,14.51,4.09,2.09,1.00,1.01,1.81
Patrick Beverley,PG,0.40,0.03,3.04,0.00,6.37,3.61,3.12,0.00,0.00
Khem Birch,SF,1.68,0.48,0.00,6.62,5.75,1.65,0.10,0.77,1.02
Goga Bitadze,SF,0.32,1.06,0.00,1.52,0.00,0.00,0.01,1.61,0.00
Bismack Biyombo,C,0.10,0.30,0.00,10.03,2.66,2.92,1.38,2.76,1.18
Nemanja Bjelica,SG,0.30,0.00,0.00,14.68,9.83,4.35,0.23,0.63,3.23
Eric Bledsoe,PG,0.53,1.24,0.00,21.02,3.37,6.51,1.38,0.66,2.46
Bogdan Bogdanović,SG,0.18,0.00,1.78,6.42,3.85,3.89,0.31,0.75,1.95
Bojan Bogdanović,C,0.73,1.66,1.75,20.29,6.24,1.66,0.00,0.43,3.15
Jonah Bolden,PF,0.00,0.00,0.00,0.00,2.96,0.00,0.51,0.00,0.48
Marques Bolden,PF,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jordan Bone,PF,0.66,0.00,0.00,0.00,1.27,0.00,0.27,0.00,0.80
Isaac Bonga,C,0.57,0.00,0.98,10.11,1.90,2.62,0.26,0.00,0.61
Devin Booker,SG,0.56,0.60,1.60,24.63,1.68,8.02,0.37,0.00,1.16
Chris Boucher,SG,0.33,0.00,0.89,5.98,2.68,1.16,0.00,1.09,0.00
Brian Bowen,SG,2.01,0.00,0.00,1.66,1.09,0.00,0.00,0.00,0.00
Ky Bowman,SG,0.49,11.10,2.33,7.01,3.01,1.76,1.03,0.80,4.69
Avery Bradley,SG,0.23,0.00,2.04,13.08,2.71,0.96,1.20,0.36,0.84
Tony Bradley,SG,0.00,0.00,0.07,7.55,2.94,0.90,1.45,0.22,0.07
Jarrell Brantley,PG,0.00,0.00,0.00,0.00,1.21,0.05,0.00,0.26,0.43
Ignas Brazdeikis,PG,0.24,0.00,0.00,0.95,0.98,0.93,0.00,0.10,0.02
Mikal Bridges,SG,2.43,0.64,0.45,10.11,3.78,2.66,2.41,1.06,1.13
Miles Bridges,SG,0.16,0.00,0.77,0.75,10.25,3.60,0.78,1.20,1.53
Oshae Brissett,PG,0.00,0.00,0.00,0.00,3.21,0.00,0.00,0.33,0.20
Ryan Broekhoff,SF,0.33,20.40,1.21,5.46,5.50,1.96,0.71,0.24,0.14
Malcolm Brogdon,SG,0.62,0.00,2.11,8.18,4.28,6.34,1.15,0.09,4.32
Dillon Brooks,SG,0.40,0.87,3.20,13.37,3.11,1.57,1.23,0.18,4.99
Bruce Brown,SG,0.35,0.36,0.38,6.20,10.93,6.60,0.01,0.00,0.00
Charlie Brown,PF,0.86,0.46,0.00,5.68,2.04,0.51,0.64,0.13,1.16
Jaylen Brown,SG,0.30,0.42,1.74,11.34,4.23,0.00,1.14,0.39,2.36
Moses Brown,SF,0.00,0.01,0.00,1.35,2.82,0.00,0.00,0.55,0.00
Sterling Brown,C,0.36,0.00,1.13,2.13,8.26,0.62,0.28,0.21,0.87
Troy Brown Jr.,SG,0.53,0.63,0.00,17.16,4.18,3.12,2.69,0.00,0.10
Jalen Brunson,PF,0.64,1.25,0.95,13.49,3.19,0.63,0.00,0.04,3.51
Thomas Bryant,PF,1.96,0.46,0.23,10.81,7.64,1.95,1.00,0.00,1.60
Reggie Bullock,SG,1.11,2.11,1.97,6.32,2.21,0.45,0.20,0.00,0.77
Trey Burke,PG,3.97,0.00,0.89,5.90,1.77,2.53,0.00,0.00,0.00
Alec Burks,SG,0.44,2.46,2.30,23.92,4.41,2.51,1.46,0.69,1.02
Deonte Burton,SF,0.41,0.00,0.00,0.00,0.00,0.31,0.00,0.71,0.01
Jimmy Butler,SG,0.26,0.27,0.00,13.65,7.24,9.78,1.55,1.31,3.57
Bruno Caboclo,C,0.57,0.21,0.15,4.65,0.00,0.13,0.02,0.23,0.65
Kentavious Caldwell-Pope,SG,0.38,0.00,1.49,14.28,3.76,0.06,2.05,0.00,0.42
Vlatko Čančar,C,0.00,8.75,0.00,3.60,0.35,0.00,0.00,0.00,0.74
Clint Capela,C,0.86,0.00,0.00,6.84,11.41,0.00,1.75,2.85,0.48
DeMarre Carroll,SF,0.00,0.00,0.64,0.00,2.16,0.16,0.02,0.00,1.38
Jevon Carter,SF,3.20,0.13,0.00,6.22,0.97,0.65,0.85,0.36,1.20
Vince Carter,SG,0.14,0.00,0.00,7.57,3.72,1.12,0.98,0.71,1.22
Wendell Carter Jr.,C,0.46,0.56,0.08,8.96,2.98,1.03,0.13,0.81,2.50
Michael Carter-Williams,SG,0.28,0.00,0.00,0.00,3.82,2.01,0.62,1.46,1.78
Alex Caruso,SG,0.00,0.00,0.00,12.14,1.59,4.30,0.68,0.71,1.86
Willie Cauley-Stein,C,0.77,0.00,0.00,6.27,5.80,1.51,0.12,1.55,1.20
Tyson Chandler,C,0.11,0.76,0.00,0.00,0.00,0.00,0.05,1.02,0.54
Wilson Chandler,SF,0.40,0.00,2.14,7.56,4.06,1.11,0.00,1.01,2.83
Joe Chealey,PG,0.00,0.46,0.00,0.44,0.00,0.00,0.81,0.00,1.97
Zylan Cheatham,PG,0.00,0.00,0.00,0.00,2.93,1.00,0.00,0.83,0.98
Chris Chiozza,SF,4.77,0.46,0.74,1.95,1.75,2.56,1.65,0.00,1.37
Marquese Chriss,SG,0.25,1.37,0.68,8.39,8.13,0.41,0.98,3.00,2.04
Gary Clark,PG,0.00,3.92,2.59,3.56,2.51,0.05,0.90,0.19,0.30
Brandon Clarke,PG,0.60,0.57,0.00,15.15,8.97,0.88,0.93,1.09,1.10
Jordan Clarkson,PG,0.57,0.82,2.33,15.54,4.38,0.00,0.20,0.00,0.00
Nicolas Claxton,SG,0.10,0.00,0.47,3.06,6.75,0.49,0.10,0.00,0.61
Chris Clemons,PF,0.37,1.03,0.00,5.18,0.11,3.66,0.00,0.00,0.64
Antonius Cleveland,PF,0.82,1.14,0.00,0.71,0.00,0.00,0.30,0.80,0.28
Amir Coffey,C,0.12,0.15,0.00,0.47,1.48,1.22,0.30,0.03,0.00
John Collins,PF,0.26,0.36,1.40,16.27,7.99,0.68,0.64,0.08,0.52
Zach Collins,C,0.76,0.66,1.87,9.59,0.00,1.56,0.00,0.00,2.00
Mike Conley,PG,2.08,0.71,0.00,11.72,4.34,5.91,0.65,0.01,4.91
Pat Connaughton,SF,0.87,1.38,3.20,4.61,2.48,2.22,0.26,0.76,0.49
Quinn Cook,PG,0.66,0.04,0.97,0.61,2.61,2.09,0.29,0.00,0.90
Tyler Cook,PG,0.58,0.00,0.00,1.74,0.00,0.00,0.00,0.00,0.00
Robert Covington,SF,0.02,0.99,2.35,12.04,4.77,1.53,0.72,0.00,3.34
Allen Crabbe,SG,0.00,0.17,0.00,11.38,2.47,0.87,1.81,0.15,1.70
Torrey Craig,C,0.77,0.00,0.17,2.99,2.63,0.00,0.00,2.01,0.00
Jae Crowder,SF,0.66,1.81,2.12,0.00,5.90,2.18,2.30,0.52,1.99
Jarrett Culver,SG,0.00,0.00,1.94,6.37,1.47,1.77,1.08,1.20,0.95
Seth Curry,PG,0.33,3.11,1.15,25.34,2.34,4.75,0.99,0.99,1.48
