Date,Start (ET),Visitor/Neutral,Home/Neutral,home_perc,away_perc
Tue Oct 22 2019,8:00p,New Orleans Pelicans,Toronto Raptors,0.736501276,0.263498694
Tue Oct 22 2019,10:30p,Los Angeles Lakers,Los Angeles Clippers,0.731533349,0.268466622
Wed Oct 23 2019,7:00p,Chicago Bulls,Charlotte Hornets,0.778501272,0.221498743
Wed Oct 23 2019,7:00p,Detroit Pistons,Indiana Pacers,0.756938756,0.243061244
Wed Oct 23 2019,7:00p,Cleveland Cavaliers,Orlando Magic,0.766156137,0.233843938
Wed Oct 23 2019,7:30p,Minnesota Timberwolves,Brooklyn Nets,0.672428191,0.327571839
Wed Oct 23 2019,7:30p,Memphis Grizzlies,Miami Heat,0.647868395,0.352131546
Wed Oct 23 2019,7:30p,Boston Celtics,Philadelphia 76ers,0.624978423,0.375021517
Wed Oct 23 2019,8:30p,Washington Wizards,Dallas Mavericks,0.621486902,0.378513068
Wed Oct 23 2019,8:30p,New York Knicks,San Antonio Spurs,0.813350797,0.186649188
Wed Oct 23 2019,9:00p,Oklahoma City Thunder,Utah Jazz,0.709728122,0.290271908
Wed Oct 23 2019,10:00p,Sacramento Kings,Phoenix Suns,0.479189068,0.520810962
Wed Oct 23 2019,10:00p,Denver Nuggets,Portland Trail Blazers,0.742513537,0.257486492
Thu Oct 24 2019,7:00p,Atlanta Hawks,Detroit Pistons,0.671870649,0.328129351
Thu Oct 24 2019,8:00p,Milwaukee Bucks,Houston Rockets,0.572515666,0.427484334
Thu Oct 24 2019,10:30p,Los Angeles Clippers,Golden State Warriors,0.615478277,0.384521693
Fri Oct 25 2019,7:00p,Toronto Raptors,Boston Celtics,0.495780826,0.504219174
Fri Oct 25 2019,7:00p,Minnesota Timberwolves,Charlotte Hornets,0.60362798,0.39637211
Fri Oct 25 2019,7:30p,New York Knicks,Brooklyn Nets,0.676606715,0.323393226
Fri Oct 25 2019,8:00p,Chicago Bulls,Memphis Grizzlies,0.558801234,0.441198766
Fri Oct 25 2019,8:00p,Dallas Mavericks,New Orleans Pelicans,0.447624773,0.552375257
Fri Oct 25 2019,8:00p,Washington Wizards,Oklahoma City Thunder,0.633166611,0.366833389
Fri Oct 25 2019,9:00p,Phoenix Suns,Denver Nuggets,0.567186117,0.432813853
Fri Oct 25 2019,10:00p,Portland Trail Blazers,Sacramento Kings,0.543776691,0.456223249
Fri Oct 25 2019,10:30p,Utah Jazz,Los Angeles Lakers,0.362877399,0.637122691
Sat Oct 26 2019,5:00p,Miami Heat,Milwaukee Bucks,0.679668963,0.320331037
Sat Oct 26 2019,7:00p,Philadelphia 76ers,Detroit Pistons,0.322009832,0.677990198
Sat Oct 26 2019,7:30p,Orlando Magic,Atlanta Hawks,0.571957231,0.428042859
Sat Oct 26 2019,7:30p,Boston Celtics,New York Knicks,0.325900435,0.674099565
Sat Oct 26 2019,8:00p,Toronto Raptors,Chicago Bulls,0.41406998,0.585930049
Sat Oct 26 2019,8:00p,Indiana Pacers,Cleveland Cavaliers,0.387993068,0.612006843
Sat Oct 26 2019,8:00p,New Orleans Pelicans,Houston Rockets,0.627345383,0.372654587
Sat Oct 26 2019,8:30p,Washington Wizards,San Antonio Spurs,0.785994172,0.214005843
Sat Oct 26 2019,9:00p,Sacramento Kings,Utah Jazz,0.780938566,0.219061404
Sat Oct 26 2019,10:00p,Los Angeles Clippers,Phoenix Suns,0.312693536,0.687306404
Sun Oct 27 2019,3:30p,Golden State Warriors,Oklahoma City Thunder,0.444534808,0.555465162
Sun Oct 27 2019,6:00p,Brooklyn Nets,Memphis Grizzlies,0.334837466,0.665162504
Sun Oct 27 2019,7:00p,Portland Trail Blazers,Dallas Mavericks,0.687880754,0.312119275
Sun Oct 27 2019,7:00p,Miami Heat,Minnesota Timberwolves,0.500261962,0.499738038
Sun Oct 27 2019,9:30p,Charlotte Hornets,Los Angeles Lakers,0.687586427,0.312413573
Mon Oct 28 2019,7:00p,Chicago Bulls,New York Knicks,0.468212038,0.531787992
Mon Oct 28 2019,7:00p,Indiana Pacers,Detroit Pistons,0.602439106,0.397560835
Mon Oct 28 2019,7:30p,Orlando Magic,Toronto Raptors,0.800271988,0.199727938
Mon Oct 28 2019,7:30p,Philadelphia 76ers,Atlanta Hawks,0.474737495,0.525262535
Mon Oct 28 2019,8:00p,Oklahoma City Thunder,Houston Rockets,0.709055841,0.290944099
Mon Oct 28 2019,8:00p,Cleveland Cavaliers,Milwaukee Bucks,0.773154616,0.226845324
Mon Oct 28 2019,8:00p,Golden State Warriors,New Orleans Pelicans,0.504393101,0.495606869
Mon Oct 28 2019,8:30p,Portland Trail Blazers,San Antonio Spurs,0.716985166,0.283014864
Mon Oct 28 2019,10:00p,Utah Jazz,Phoenix Suns,0.624534249,0.375465751
Mon Oct 28 2019,10:00p,Denver Nuggets,Sacramento Kings,0.263765246,0.736234844
Mon Oct 28 2019,10:30p,Charlotte Hornets,Los Angeles Clippers,0.82022959,0.17977041
Tue Oct 29 2019,7:30p,Atlanta Hawks,Miami Heat,0.557494879,0.442505151
Tue Oct 29 2019,9:00p,Dallas Mavericks,Denver Nuggets,0.686801553,0.313198388
Tue Oct 29 2019,10:30p,Memphis Grizzlies,Los Angeles Lakers,0.795195878,0.204804122
Wed Oct 30 2019,7:00p,Chicago Bulls,Cleveland Cavaliers,0.639524937,0.360475063
Wed Oct 30 2019,7:00p,New York Knicks,Orlando Magic,0.77001977,0.229980201
Wed Oct 30 2019,7:00p,Minnesota Timberwolves,Philadelphia 76ers,0.641111374,0.358888656
Wed Oct 30 2019,7:30p,Milwaukee Bucks,Boston Celtics,0.424236208,0.575763822
Wed Oct 30 2019,7:30p,Indiana Pacers,Brooklyn Nets,0.754762292,0.245237634
Wed Oct 30 2019,7:30p,Detroit Pistons,Toronto Raptors,0.773907959,0.2260921
Wed Oct 30 2019,8:00p,Portland Trail Blazers,Oklahoma City Thunder,0.508183479,0.491816521
Wed Oct 30 2019,8:00p,Houston Rockets,Washington Wizards,0.403537422,0.596462607
Wed Oct 30 2019,10:00p,Charlotte Hornets,Sacramento Kings,0.411337197,0.588662863
Wed Oct 30 2019,10:00p,Los Angeles Clippers,Utah Jazz,0.526516259,0.473483682
Wed Oct 30 2019,10:30p,Phoenix Suns,Golden State Warriors,0.600788295,0.399211705
Thu Oct 31 2019,7:00p,Miami Heat,Atlanta Hawks,0.403980821,0.596019149
Thu Oct 31 2019,9:30p,Denver Nuggets,New Orleans Pelicans,0.38719663,0.6128034
Thu Oct 31 2019,10:30p,San Antonio Spurs,Los Angeles Clippers,0.709009886,0.290990084
Fri Nov 1 2019,7:00p,Houston Rockets,Brooklyn Nets,0.301874518,0.698125482
Fri Nov 1 2019,7:00p,Cleveland Cavaliers,Indiana Pacers,0.553019404,0.446980596
Fri Nov 1 2019,7:00p,Milwaukee Bucks,Orlando Magic,0.410630882,0.589369178
Fri Nov 1 2019,7:30p,New York Knicks,Boston Celtics,0.837039649,0.162960321
Fri Nov 1 2019,8:00p,Detroit Pistons,Chicago Bulls,0.334896863,0.665103137
Fri Nov 1 2019,9:30p,Los Angeles Lakers,Dallas Mavericks,0.583374977,0.416625082
Fri Nov 1 2019,10:00p,Utah Jazz,Sacramento Kings,0.254282892,0.745717108
Fri Nov 1 2019,10:30p,San Antonio Spurs,Golden State Warriors,0.519760549,0.480239481
Sat Nov 2 2019,5:00p,New Orleans Pelicans,Oklahoma City Thunder,0.493879706,0.506120324
Sat Nov 2 2019,7:00p,Brooklyn Nets,Detroit Pistons,0.414416105,0.585583866
Sat Nov 2 2019,7:00p,Denver Nuggets,Orlando Magic,0.454111576,0.545888424
Sat Nov 2 2019,8:00p,Phoenix Suns,Memphis Grizzlies,0.370242625,0.629757345
Sat Nov 2 2019,8:00p,Toronto Raptors,Milwaukee Bucks,0.600383878,0.399616092
Sat Nov 2 2019,8:00p,Minnesota Timberwolves,Washington Wizards,0.429383308,0.570616722
Sat Nov 2 2019,8:30p,Charlotte Hornets,Golden State Warriors,0.544543445,0.455456614
Sat Nov 2 2019,10:00p,Philadelphia 76ers,Portland Trail Blazers,0.359355539,0.640644431
Sun Nov 3 2019,5:00p,Chicago Bulls,Indiana Pacers,0.7024858,0.2975142
Sun Nov 3 2019,6:00p,Houston Rockets,Miami Heat,0.691801727,0.308198273
Sun Nov 3 2019,6:00p,Sacramento Kings,New York Knicks,0.604947448,0.395052522
Sun Nov 3 2019,7:00p,Los Angeles Lakers,San Antonio Spurs,0.665785789,0.334214181
Sun Nov 3 2019,7:30p,Dallas Mavericks,Cleveland Cavaliers,0.373250365,0.626749635
Sun Nov 3 2019,9:00p,Utah Jazz,Los Angeles Clippers,0.709351778,0.290648222
Mon Nov 4 2019,7:00p,Detroit Pistons,Washington Wizards,0.461503774,0.538496196
Mon Nov 4 2019,7:30p,New Orleans Pelicans,Brooklyn Nets,0.631372511,0.368627459
Mon Nov 4 2019,8:00p,Houston Rockets,Memphis Grizzlies,0.345486611,0.654513419
Mon Nov 4 2019,8:00p,Milwaukee Bucks,Minnesota Timberwolves,0.524236679,0.475763351
Mon Nov 4 2019,9:00p,Philadelphia 76ers,Phoenix Suns,0.41579017,0.5842098
Mon Nov 4 2019,10:30p,Portland Trail Blazers,Golden State Warriors,0.326695889,0.673304081
Tue Nov 5 2019,7:00p,Indiana Pacers,Charlotte Hornets,0.539414883,0.460585117
Tue Nov 5 2019,7:00p,Boston Celtics,Cleveland Cavaliers,0.347698033,0.652301908
Tue Nov 5 2019,7:30p,San Antonio Spurs,Atlanta Hawks,0.409047961,0.590952039
Tue Nov 5 2019,8:00p,Los Angeles Lakers,Chicago Bulls,0.319784671,0.680215418
Tue Nov 5 2019,8:00p,Orlando Magic,Oklahoma City Thunder,0.68606776,0.3139323
Tue Nov 5 2019,9:00p,Miami Heat,Denver Nuggets,0.354050547,0.645949423
Wed Nov 6 2019,7:00p,New York Knicks,Detroit Pistons,0.772618234,0.227381796
Wed Nov 6 2019,7:00p,Washington Wizards,Indiana Pacers,0.581413627,0.418586314
Wed Nov 6 2019,7:30p,Chicago Bulls,Atlanta Hawks,0.706452072,0.293547928
Wed Nov 6 2019,7:30p,Golden State Warriors,Houston Rockets,0.723842859,0.276157111
Wed Nov 6 2019,7:30p,Sacramento Kings,Toronto Raptors,0.83732599,0.16267398
Wed Nov 6 2019,8:00p,Minnesota Timberwolves,Memphis Grizzlies,0.339102417,0.660897613
Wed Nov 6 2019,8:30p,Orlando Magic,Dallas Mavericks,0.794321895,0.205678105
Wed Nov 6 2019,9:00p,Philadelphia 76ers,Utah Jazz,0.506630957,0.493369043
Wed Nov 6 2019,10:00p,Milwaukee Bucks,Los Angeles Clippers,0.461409807,0.538590193
Thu Nov 7 2019,8:00p,Boston Celtics,Charlotte Hornets,0.410335571,0.589664459
Thu Nov 7 2019,8:30p,Oklahoma City Thunder,San Antonio Spurs,0.742085636,0.257914394
Thu Nov 7 2019,9:00p,Miami Heat,Phoenix Suns,0.547892809,0.452107251
Thu Nov 7 2019,10:30p,Portland Trail Blazers,Los Angeles Clippers,0.669959903,0.330040127
Fri Nov 8 2019,7:00p,Detroit Pistons,Indiana Pacers,0.570668936,0.429331064
Fri Nov 8 2019,7:00p,Memphis Grizzlies,Orlando Magic,0.603044808,0.396955162
Fri Nov 8 2019,7:00p,Cleveland Cavaliers,Washington Wizards,0.685757995,0.314241976
Fri Nov 8 2019,7:30p,Sacramento Kings,Atlanta Hawks,0.65580219,0.34419778
Fri Nov 8 2019,8:00p,Golden State Warriors,Minnesota Timberwolves,0.746475935,0.253524035
Fri Nov 8 2019,8:00p,Toronto Raptors,New Orleans Pelicans,0.330086768,0.669913232
Fri Nov 8 2019,8:30p,New York Knicks,Dallas Mavericks,0.82074517,0.17925483
Fri Nov 8 2019,9:00p,Philadelphia 76ers,Denver Nuggets,0.527716696,0.472283274
Fri Nov 8 2019,9:00p,Milwaukee Bucks,Utah Jazz,0.371195793,0.628804207
Fri Nov 8 2019,10:00p,Brooklyn Nets,Portland Trail Blazers,0.409103125,0.590896845
Fri Nov 8 2019,10:30p,Miami Heat,Los Angeles Lakers,0.596299767,0.403700233
Sat Nov 9 2019,5:00p,Boston Celtics,San Antonio Spurs,0.508811414,0.491188645
Sat Nov 9 2019,7:00p,New Orleans Pelicans,Charlotte Hornets,0.560934305,0.439065725
Sat Nov 9 2019,8:00p,Houston Rockets,Chicago Bulls,0.335171014,0.664828956
Sat Nov 9 2019,8:00p,Dallas Mavericks,Memphis Grizzlies,0.31048426,0.689515769
Sat Nov 9 2019,8:00p,Golden State Warriors,Oklahoma City Thunder,0.70459938,0.295400649
Sun Nov 10 2019,3:30p,Denver Nuggets,Minnesota Timberwolves,0.605197251,0.394802779
Sun Nov 10 2019,6:00p,Indiana Pacers,Orlando Magic,0.49293229,0.50706774
Sun Nov 10 2019,6:00p,Charlotte Hornets,Philadelphia 76ers,0.772834182,0.227165878
Sun Nov 10 2019,7:00p,Milwaukee Bucks,Oklahoma City Thunder,0.364424706,0.635575354
Sun Nov 10 2019,7:30p,Cleveland Cavaliers,New York Knicks,0.489601523,0.510398507
Sun Nov 10 2019,8:00p,Brooklyn Nets,Phoenix Suns,0.497033834,0.502966166
Sun Nov 10 2019,9:00p,Atlanta Hawks,Portland Trail Blazers,0.59684968,0.403150231
Sun Nov 10 2019,9:30p,Toronto Raptors,Los Angeles Lakers,0.54988414,0.450115889
Mon Nov 11 2019,7:00p,Minnesota Timberwolves,Detroit Pistons,0.5852198,0.4147802
Mon Nov 11 2019,7:30p,Dallas Mavericks,Boston Celtics,0.746835172,0.253164768
Mon Nov 11 2019,7:30p,Memphis Grizzlies,San Antonio Spurs,0.782304585,0.217695445
Mon Nov 11 2019,8:00p,Houston Rockets,New Orleans Pelicans,0.317021996,0.682977974
Mon Nov 11 2019,10:30p,Utah Jazz,Golden State Warriors,0.378088981,0.621910989
Mon Nov 11 2019,10:30p,Toronto Raptors,Los Angeles Clippers,0.424031138,0.575968802
Tue Nov 12 2019,7:00p,Oklahoma City Thunder,Indiana Pacers,0.718543231,0.281456769
Tue Nov 12 2019,7:00p,Cleveland Cavaliers,Philadelphia 76ers,0.782567263,0.217432752
Tue Nov 12 2019,7:30p,Detroit Pistons,Miami Heat,0.787129045,0.212871
Tue Nov 12 2019,8:00p,New York Knicks,Chicago Bulls,0.628472328,0.371527672
Tue Nov 12 2019,9:00p,Atlanta Hawks,Denver Nuggets,0.750293374,0.249706581
Tue Nov 12 2019,9:00p,Los Angeles Lakers,Phoenix Suns,0.68391484,0.31608519
Tue Nov 12 2019,9:00p,Brooklyn Nets,Utah Jazz,0.673038781,0.326961219
Tue Nov 12 2019,10:00p,Portland Trail Blazers,Sacramento Kings,0.435260892,0.564739108
Wed Nov 13 2019,7:00p,Memphis Grizzlies,Charlotte Hornets,0.548205256,0.451794714
Wed Nov 13 2019,7:00p,Philadelphia 76ers,Orlando Magic,0.372830421,0.62716949
Wed Nov 13 2019,7:30p,Washington Wizards,Boston Celtics,0.860195875,0.139804065
Wed Nov 13 2019,7:30p,Los Angeles Clippers,Houston Rockets,0.74467963,0.25532037
Wed Nov 13 2019,8:00p,San Antonio Spurs,Minnesota Timberwolves,0.710484982,0.289514989
Wed Nov 13 2019,10:00p,Golden State Warriors,Los Angeles Lakers,0.823782206,0.176217824
Wed Nov 13 2019,10:00p,Toronto Raptors,Portland Trail Blazers,0.335879952,0.664120078
Thu Nov 14 2019,6:00p,Miami Heat,Cleveland Cavaliers,0.316599727,0.683400214
Thu Nov 14 2019,8:00p,Chicago Bulls,Milwaukee Bucks,0.827771306,0.172228709
Thu Nov 14 2019,8:00p,Los Angeles Clippers,New Orleans Pelicans,0.473047405,0.526952624
Thu Nov 14 2019,8:00p,Dallas Mavericks,New York Knicks,0.271975487,0.728024542
Thu Nov 14 2019,9:00p,Atlanta Hawks,Phoenix Suns,0.774030209,0.225969806
Thu Nov 14 2019,10:30p,Brooklyn Nets,Denver Nuggets,0.563549399,0.436450601
Fri Nov 15 2019,7:00p,Detroit Pistons,Charlotte Hornets,0.375947773,0.624052286
Fri Nov 15 2019,7:00p,San Antonio Spurs,Orlando Magic,0.530941308,0.469058722
Fri Nov 15 2019,8:00p,Indiana Pacers,Houston Rockets,0.804130971,0.195869029
Fri Nov 15 2019,8:00p,Utah Jazz,Memphis Grizzlies,0.430899709,0.569100261
Fri Nov 15 2019,8:00p,Washington Wizards,Minnesota Timberwolves,0.822829366,0.177170649
Fri Nov 15 2019,8:00p,Philadelphia 76ers,Oklahoma City Thunder,0.503928602,0.496071398
Fri Nov 15 2019,10:30p,Boston Celtics,Golden State Warriors,0.232886955,0.76711303
Fri Nov 15 2019,10:30p,Sacramento Kings,Los Angeles Lakers,0.823347926,0.176652089
