Date,Start (ET),Visitor/Neutral,Home/Neutral,home_perc,away_perc
Tue Oct 22 2019,8:00p,New Orleans Pelicans,Toronto Raptors,73.65%,26.35%
Tue Oct 22 2019,10:30p,Los Angeles Lakers,Los Angeles Clippers,73.15%,26.85%
Wed Oct 23 2019,7:00p,Chicago Bulls,Charlotte Hornets,77.85%,22.15%
Wed Oct 23 2019,7:00p,Detroit Pistons,Indiana Pacers,75.69%,24.31%
Wed Oct 23 2019,7:00p,Cleveland Cavaliers,Orlando Magic,76.62%,23.38%
Wed Oct 23 2019,7:30p,Minnesota Timberwolves,Brooklyn Nets,67.24%,32.76%
Wed Oct 23 2019,7:30p,Memphis Grizzlies,Miami Heat,64.79%,35.21%
Wed Oct 23 2019,7:30p,Boston Celtics,Philadelphia 76ers,62.50%,37.50%
Wed Oct 23 2019,8:30p,Washington Wizards,Dallas Mavericks,62.15%,37.85%
Wed Oct 23 2019,8:30p,New York Knicks,San Antonio Spurs,81.34%,18.66%
Wed Oct 23 2019,9:00p,Oklahoma City Thunder,Utah Jazz,70.97%,29.03%
Wed Oct 23 2019,10:00p,Sacramento Kings,Phoenix Suns,47.92%,52.08%
Wed Oct 23 2019,10:00p,Denver Nuggets,Portland Trail Blazers,74.25%,25.75%
Thu Oct 24 2019,7:00p,Atlanta Hawks,Detroit Pistons,67.19%,32.81%
Thu Oct 24 2019,8:00p,Milwaukee Bucks,Houston Rockets,57.25%,42.75%
Thu Oct 24 2019,10:30p,Los Angeles Clippers,Golden State Warriors,61.55%,38.45%
Fri Oct 25 2019,7:00p,Toronto Raptors,Boston Celtics,49.58%,50.42%
Fri Oct 25 2019,7:00p,Minnesota Timberwolves,Charlotte Hornets,60.36%,39.64%
Fri Oct 25 2019,7:30p,New York Knicks,Brooklyn Nets,67.66%,32.34%
Fri Oct 25 2019,8:00p,Chicago Bulls,Memphis Grizzlies,55.88%,44.12%
Fri Oct 25 2019,8:00p,Dallas Mavericks,New Orleans Pelicans,44.76%,55.24%
Fri Oct 25 2019,8:00p,Washington Wizards,Oklahoma City Thunder,63.32%,36.68%
Fri Oct 25 2019,9:00p,Phoenix Suns,Denver Nuggets,56.72%,43.28%
Fri Oct 25 2019,10:00p,Portland Trail Blazers,Sacramento Kings,54.38%,45.62%
Fri Oct 25 2019,10:30p,Utah Jazz,Los Angeles Lakers,36.29%,63.71%
Sat Oct 26 2019,5:00p,Miami Heat,Milwaukee Bucks,67.97%,32.03%
