name,GP,FG%,FT%,made_three_point_field_goals,points,rebounds,assists,steals,blocks,turnovers
Atlanta Hawks,67,44.9,79,12,111.8,43.3,24,7.8,5.1,16.2
Boston Celtics,64,45.9,80.1,12.4,113,46,22.8,8.3,5.6,13.6
Brooklyn Nets,64,44.4,74.4,12.9,110.8,48.5,24,6.5,4.6,15.5
Charlotte Hornets,65,43.4,74.8,12.1,102.9,42.8,23.8,6.6,4.1,14.6
Chicago Bulls,65,44.7,75.5,12.2,106.8,41.9,23.2,10,4.1,15.5
Cleveland Cavaliers,65,45.8,75.8,11.2,106.9,44.2,23.1,6.9,3.2,16.5
Dallas Mavericks,67,46.2,77.3,15.3,116.4,47,24.5,6.3,5,12.8
Denver Nuggets,65,47.1,77.5,10.9,110.4,44.3,26.5,8.1,4.6,13.7
Detroit Pistons,66,45.9,74.3,12,107.2,41.7,24.1,7.4,4.5,15.3
Golden State Warriors,65,43.8,80.3,10.4,106.3,42.8,25.6,8.2,4.6,14.9
Houston Rockets,64,45.4,78.7,15.4,118.1,44.9,21.5,8.5,5.1,14.7
Indiana Pacers,65,47.7,78.7,10,109.3,42.8,25.9,7.2,5.1,13.1
LA Clippers,64,46.4,79.2,12.2,116.2,48,23.8,7.1,5,14.8
Los Angeles Lakers,63,48.5,73,11.2,114.3,46.1,25.9,8.6,6.8,15.1
Memphis Grizzlies,65,47,76.1,10.9,112.6,46.7,27,8,5.6,15.3
Miami Heat,65,47,77.8,13.4,112.2,44.5,26,7.4,4.5,14.9
Milwaukee Bucks,65,47.7,74.2,13.7,118.6,51.7,25.9,7.4,6,14.9
Minnesota Timberwolves,64,44.1,75.3,13.3,113.3,44.8,23.8,8.7,5.7,15.3
New Orleans Pelicans,64,46.2,72.9,14,116.2,47,27,7.6,5.1,16.2
New York Knicks,66,44.7,69.4,9.6,105.8,46.5,22.1,7.6,4.7,14.3
Oklahoma City Thunder,64,47.3,79.7,10.4,110.8,42.7,21.9,7.6,5,13.5
Orlando Magic,65,44.2,77,10.9,106.4,44.5,24,8.4,5.7,12.6
Philadelphia 76ers,65,46.5,75.2,11.4,109.6,45.5,25.9,8.2,5.4,14.2
Phoenix Suns,65,46.4,82.6,11.2,112.6,43.1,27.2,7.8,4,15.1
Portland Trail Blazers,66,46.1,79.8,12.6,113.6,45.5,20.2,6.1,6.2,13
Sacramento Kings,64,45.9,76.9,12.6,109,42.5,23.4,7.6,4.2,14.4
San Antonio Spurs,63,47,80.9,10.7,113.2,44.4,24.5,7.2,5.5,12.3
Toronto Raptors,64,45.8,80,13.8,113,45.2,25.4,8.8,4.9,14.4
Utah Jazz,64,47.5,77.2,13.2,111,45.1,22.2,5.9,4,14.9
Washington Wizards,64,46.1,78.7,12.3,115.6,41.7,25.3,8.1,4.3,14.1
